"First Name","Last Name","Date of Birth (Y-m-d)",State,Sex,"Height (cm)","Weight (KG)"
Demarco,Sanford,1988-01-01,Maine,male,156,123
Nathaniel,Weber,1984-01-15,Pennsylvania,female,173,71
Madeline,Dicki,1987-05-25,Illinois,male,156,130
Jermain,Daugherty,1965-02-25,Pennsylvania,female,170,134
Citlalli,Pfeffer,1979-09-14,Pennsylvania,female,162,145
Johanna,Hodkiewicz,1992-05-26,Maryland,female,175,125
Rachelle,Hauck,1988-12-28,NorthDakota,male,173,109
Raleigh,Farrell,1993-09-30,Georgia,male,180,98
Jairo,Goodwin,1991-08-31,Utah,male,176,111
Sherwood,Harber,1972-08-22,Michigan,female,150,50
Enrico,Cronin,1972-01-24,Texas,female,160,65
Coby,Bode,1975-04-14,Wisconsin,female,164,116
Albin,Reichert,1978-02-21,Colorado,female,200,131
Amy,Goyette,1991-08-18,Wyoming,male,150,65
Carson,Dach,1978-04-04,Mississippi,male,188,93
Marcelino,Bartoletti,1982-01-20,Connecticut,female,186,148
Catalina,Schamberger,1984-04-11,Arkansas,male,175,87
Aidan,Reynolds,1990-11-10,NewYork,female,191,153
Shaina,Corwin,1984-09-29,Massachusetts,male,195,99
Adolfo,Stroman,1973-04-21,Washington,male,151,99
Rudolph,Moore,1987-06-30,Arizona,female,151,122
Jeremy,D'Amore,1992-05-02,Montana,male,185,154
Lilian,Schneider,1975-12-03,Wisconsin,female,178,153
Earnestine,Dare,1992-01-29,Nebraska,male,156,153
Nolan,Armstrong,1985-10-07,Vermont,male,174,125
Billie,Kunze,1979-07-26,Alabama,male,184,94
Kevin,Kuhlman,1993-01-25,NewJersey,female,177,149
Johan,Donnelly,1991-01-03,Wyoming,female,198,129
Cierra,Luettgen,1984-12-11,Texas,female,190,118
Lilly,Swaniawski,1971-12-06,Ohio,male,159,122
Glenda,O'Keefe,1988-05-08,Alaska,male,180,125
Preston,Hackett,1972-03-11,Massachusetts,male,156,91
Blanca,Fisher,1992-06-10,Illinois,female,164,153
Harrison,Kautzer,1964-07-13,Indiana,female,157,56
Adrian,Stehr,1974-07-10,NewMexico,female,158,109
Alison,Cormier,1967-12-26,Georgia,female,178,72
Rita,Funk,1984-09-30,Idaho,female,193,132
Kaya,Wisoky,1982-08-12,Indiana,female,174,126
Ezekiel,Abernathy,1983-03-13,Massachusetts,male,151,103
Johan,Moore,1973-02-20,SouthCarolina,female,151,124
Summer,Hahn,1986-03-02,Kansas,female,174,79
Trever,Kutch,1972-06-27,SouthCarolina,female,179,94
Sarina,Nikolaus,1991-11-24,Maryland,female,181,124
Myrtis,Stark,1990-05-01,Colorado,female,179,141
Camila,Beahan,1970-03-19,Wyoming,male,174,159
Carmella,Kling,1993-06-25,Michigan,female,153,111
Sadye,Kuvalis,1970-08-14,Pennsylvania,male,152,95
Jeremie,McDermott,1973-02-27,Florida,male,197,149
Sandrine,Hilll,1972-12-04,Illinois,female,176,153
Dustin,Williamson,1977-04-11,Mississippi,male,188,157
Damion,Goodwin,1966-11-05,Texas,male,181,100
Jazmyne,Feil,1965-06-21,NewHampshire,female,159,53
Thora,Kovacek,1985-09-13,Colorado,female,155,121
Burnice,Jaskolski,1970-08-17,Florida,male,199,75
Efren,Osinski,1965-03-29,Arkansas,male,195,128
Sanford,Tromp,1988-01-27,Vermont,female,167,135
Tod,Gerlach,1971-03-16,SouthCarolina,male,150,140
Royce,Oberbrunner,1968-06-21,Georgia,male,170,133
Dayana,Blanda,1989-05-13,NewMexico,male,174,80
Christ,Daniel,1986-02-20,SouthCarolina,male,152,52
Stanford,Okuneva,1991-06-22,Wyoming,female,163,121
Everett,Dicki,1991-10-27,Colorado,female,188,141
Theodora,Brekke,1988-08-11,Texas,male,183,153
Tressa,Crooks,1993-03-02,NewMexico,female,161,150
Antonio,Zieme,1987-03-24,Hawaii,male,180,139
Jamey,Wisozk,1965-05-01,Georgia,female,200,67
Annabel,Wolf,1971-07-10,SouthCarolina,female,197,68
Bart,Russel,1989-12-07,Tennessee,female,163,112
Anabel,Herzog,1993-08-25,NewYork,female,176,55
Milan,Lakin,1992-01-21,RhodeIsland,female,184,59
Darryl,Rath,1984-05-10,Ohio,male,192,89
Tremaine,Kassulke,1967-12-28,SouthDakota,male,171,63
Noah,Kreiger,1984-11-24,Vermont,male,152,135
Jayda,Hahn,1971-12-15,NewYork,male,166,159
Clementine,Walter,1964-02-18,NorthDakota,female,192,116
Deangelo,Haley,1972-08-28,Illinois,male,151,114
Pasquale,Rohan,1977-03-18,Washington,male,150,106
Davonte,Mann,1980-11-25,Alabama,female,191,136
Noel,Mosciski,1991-02-17,Connecticut,female,168,81
Janick,Thompson,1964-03-18,NorthDakota,female,159,157
Dillan,Wiegand,1967-09-30,Pennsylvania,male,152,138
Laila,Heaney,1984-02-04,Illinois,male,177,74
Tess,Haag,1973-10-23,Wyoming,male,193,80
Moshe,Haley,1980-01-14,Washington,male,155,116
Wayne,Upton,1968-02-05,Kentucky,female,162,96
Alfonzo,Price,1993-04-29,Nebraska,male,160,100
Maximo,Runolfsson,1990-12-17,Minnesota,female,166,102
Emiliano,Corwin,1979-02-08,WestVirginia,female,180,82
Jeanne,Schoen,1977-01-30,Missouri,female,171,123
Gracie,Denesik,1986-12-20,Colorado,female,165,144
Imelda,Mueller,1981-08-06,Idaho,female,164,149
Percy,Kessler,1987-07-04,Florida,female,181,98
Sherman,Hayes,1970-04-28,Wyoming,male,153,81
Alejandrin,Ebert,1988-03-14,Indiana,female,164,93
Mollie,Block,1986-11-18,Vermont,male,174,121
Daniela,Larson,1983-12-30,Utah,female,164,144
Pearlie,Conroy,1976-05-18,Kentucky,male,184,69
Nova,Nitzsche,1971-03-27,Hawaii,male,179,135
Assunta,Kuvalis,1964-12-23,California,male,162,71
Karli,Little,1993-01-16,Alaska,female,159,106
Cindy,Tremblay,1983-10-20,Michigan,female,155,138
Reina,Block,1992-08-27,Illinois,male,192,95
Yoshiko,Tillman,1976-08-21,NewHampshire,female,189,102
Jazmin,Kassulke,1969-10-22,NorthCarolina,female,199,133
Sharon,Treutel,1976-11-16,Indiana,female,189,77
Sylvia,O'Conner,1965-08-28,Minnesota,male,150,109
Nathaniel,Gutkowski,1982-09-10,WestVirginia,female,185,73
Louvenia,Spinka,1990-11-16,RhodeIsland,male,193,136
Lee,Mertz,1986-05-12,Montana,female,165,52
Fannie,Heidenreich,1977-02-20,Wyoming,male,171,73
Joe,Kuhic,1983-08-18,Arizona,female,169,85
Felipe,Bergnaum,1976-08-16,Utah,male,161,66
Lila,Connelly,1979-07-21,Arkansas,female,176,152
Ryan,Lehner,1991-10-15,Hawaii,female,155,149
Nathanial,Torp,1993-09-21,Oregon,female,153,125
Vern,Rogahn,1971-06-12,Utah,male,184,126
Candida,Eichmann,1973-07-25,Arizona,female,157,92
Arjun,Rosenbaum,1966-07-30,Ohio,male,189,76
Pearline,Tremblay,1992-08-31,Michigan,male,159,109
Herta,Huels,1981-04-17,SouthDakota,female,189,155
Grady,Swift,1978-09-02,Virginia,female,195,86
Kristofer,McClure,1989-12-04,WestVirginia,male,190,112
Cortney,Green,1988-07-16,Alaska,female,154,59
Larry,Hoeger,1982-12-29,SouthDakota,female,194,71
Mohammed,Anderson,1982-05-12,Montana,female,171,79
Zoie,Blanda,1991-05-27,NorthDakota,male,160,155
Therese,Vandervort,1983-08-07,Mississippi,female,176,60
Sherman,King,1975-04-24,Virginia,female,152,146
Ceasar,Roberts,1990-12-12,SouthDakota,male,168,55
Aida,Robel,1976-01-17,RhodeIsland,male,185,142
Heidi,Stanton,1991-09-28,NorthCarolina,female,162,129
Marge,Anderson,1982-01-22,Idaho,male,155,105
Mckayla,Ryan,1984-03-16,Iowa,male,155,116
Leone,Cartwright,1964-08-21,Alaska,male,152,103
Reta,Strosin,1981-06-20,Alabama,female,194,149
Elvie,Stracke,1981-12-25,NorthDakota,female,169,60
Ayla,Stoltenberg,1977-08-20,RhodeIsland,female,180,117
Alec,Beatty,1984-10-20,Utah,female,159,122
Doris,Ziemann,1970-02-17,Illinois,female,200,52
Jace,Kautzer,1978-06-14,NewMexico,female,168,129
Idella,Corkery,1988-08-07,Illinois,male,183,156
Amelia,Hyatt,1989-12-02,SouthDakota,female,165,56
Isaias,Huels,1971-12-02,Ohio,male,175,69
Pearline,Reichel,1979-04-19,NewMexico,female,189,74
Corrine,Mraz,1993-05-17,Kansas,female,162,61
Tiana,Hackett,1993-01-13,Maine,female,200,104
Gisselle,O'Connell,1970-12-14,NewHampshire,male,184,58
Mitchel,Dare,1970-12-31,Wisconsin,male,173,78
Terrance,Bogan,1982-08-14,NorthDakota,male,155,78
Mustafa,Schuster,1964-08-12,Georgia,female,191,117
Breanne,Sauer,1967-12-06,SouthCarolina,female,168,80
Lupe,Kling,1988-12-09,Texas,female,181,113
Roberto,Ondricka,1964-05-31,NewJersey,male,168,57
Grady,Franecki,1977-12-16,Louisiana,male,186,143
Darrell,Gibson,1984-06-09,Nebraska,male,178,59
Harry,Moen,1969-04-19,Indiana,female,164,58
Immanuel,Cummings,1987-10-13,WestVirginia,female,155,134
Mozell,Jacobs,1989-02-27,Florida,male,177,74
Joe,Kohler,1964-03-08,Montana,male,182,86
Woodrow,Shanahan,1967-01-18,Nevada,male,188,66
Junior,Sawayn,1973-10-22,RhodeIsland,male,179,106
Keegan,Nader,1972-08-12,Kentucky,female,169,62
Marjory,Wolf,1988-12-10,NewYork,female,161,103
Nathen,Goldner,1984-08-19,Colorado,female,163,72
Ella,Prohaska,1986-05-15,Illinois,female,175,134
Maegan,Dietrich,1983-10-17,WestVirginia,female,193,55
Laisha,Kemmer,1974-10-02,NewYork,female,185,68
Kaley,Farrell,1974-12-20,Vermont,female,181,128
Noble,VonRueden,1971-05-25,Pennsylvania,male,190,88
Jessica,Dietrich,1977-06-20,Vermont,male,161,61
Douglas,Hayes,1988-07-16,Oregon,female,164,126
Roderick,Auer,1989-07-03,Florida,male,180,56
Kianna,Kshlerin,1979-04-18,Texas,female,175,81
Kianna,Goyette,1964-11-22,Georgia,female,173,109
Destin,Johnson,1983-12-07,Maine,female,163,55
Berneice,Jacobs,1990-12-06,Georgia,female,158,150
Dewayne,Gislason,1977-06-04,Ohio,female,156,117
Golda,Yundt,1992-07-08,Wyoming,male,194,75
Lucy,Maggio,1984-04-19,Indiana,female,191,53
Harvey,Lesch,1974-12-24,Missouri,female,155,79
Mohamed,Macejkovic,1971-11-14,NorthDakota,female,177,110
Assunta,Quitzon,1983-07-17,Oregon,female,174,66
Garnett,Halvorson,1983-02-16,SouthCarolina,female,177,122
Stacey,Larkin,1975-09-09,Virginia,male,154,62
Darrel,Bartell,1988-12-21,Wyoming,male,192,92
Nayeli,Dietrich,1982-07-15,RhodeIsland,male,167,110
Quentin,Daniel,1984-07-02,Texas,male,195,125
Gina,Smith,1976-11-29,Mississippi,male,181,111
Madalyn,Sauer,1975-05-17,Massachusetts,male,152,90
Jedidiah,Ward,1991-04-21,Maine,female,192,102
Freddy,Raynor,1985-03-23,Arkansas,male,186,51
Kennedy,Daniel,1981-12-22,Washington,male,164,105
Lilly,Mann,1975-04-14,Georgia,female,196,54
Zella,Collins,1978-12-11,Nevada,female,191,64
Garnet,Kub,1978-10-22,Virginia,male,163,156
Aurelio,Hettinger,1969-06-18,Mississippi,female,189,82
Madisen,Hirthe,1965-02-02,NorthDakota,female,158,70
Royal,Adams,1983-06-26,NorthCarolina,male,159,138
Cristal,Waters,1969-09-15,Montana,female,171,142
Savannah,Bode,1977-10-21,Louisiana,female,185,123
Sean,Rolfson,1977-03-14,Louisiana,male,162,91
Ike,Lehner,1970-03-11,Connecticut,female,166,121
Helga,Pfeffer,1976-07-02,Colorado,female,178,111
Bethel,O'Kon,1972-12-06,Hawaii,female,172,90
Tanya,Stiedemann,1973-05-07,Alaska,female,171,120
Elmo,Rohan,1991-06-13,Indiana,female,191,94
Israel,Wehner,1973-10-20,Mississippi,male,187,113
Dixie,Borer,1974-05-14,Washington,female,167,134
Wayne,Rohan,1973-03-25,Minnesota,female,174,70
Keshawn,Legros,1976-06-27,NewMexico,male,150,148
Helena,Buckridge,1993-06-15,Minnesota,female,150,64
Jimmie,D'Amore,1975-01-03,Virginia,male,150,99
Aurelia,Jacobs,1964-04-03,Texas,female,176,50
Ethelyn,Upton,1987-12-27,Minnesota,male,153,98
Isabell,Moore,1990-03-01,Maine,female,188,145
Icie,Baumbach,1979-12-20,Kansas,male,169,124
Gordon,Bayer,1977-07-21,Alabama,female,165,94
Vesta,Mertz,1972-09-24,Hawaii,female,170,131
Destin,Gulgowski,1968-07-10,California,female,165,74
Jade,Rolfson,1971-10-22,Montana,female,152,75
Amelie,Volkman,1973-12-07,Connecticut,female,172,76
Mara,Wehner,1980-05-04,Pennsylvania,male,160,78
Stephanie,Cummerata,1989-05-14,Pennsylvania,male,182,136
Valentin,Kuvalis,1980-07-14,Idaho,female,180,144
Alexanne,Leuschke,1968-10-01,Texas,female,197,116
Joel,Waters,1967-10-07,Louisiana,male,195,158
Lavonne,Gerlach,1980-12-25,Colorado,female,163,80
Devyn,Hahn,1975-04-12,Florida,male,161,125
Lauriane,Huel,1984-10-04,Utah,female,197,159
Thea,Nicolas,1984-03-23,Virginia,female,192,53
Brock,Daniel,1990-04-10,Mississippi,male,180,102
Brady,Koch,1967-07-05,Louisiana,male,176,126
Delores,Collier,1991-09-03,Montana,male,194,85
Dante,Tillman,1972-08-16,Kansas,male,161,151
Dixie,Denesik,1993-09-24,Montana,female,151,144
Myah,Langworth,1970-10-05,Montana,female,184,133
Mya,Kiehn,1976-06-16,Illinois,female,200,52
Pietro,Osinski,1976-08-19,Maryland,female,186,76
Alice,Crona,1975-05-15,Kansas,female,158,69
Vesta,Dooley,1982-05-12,Kansas,female,192,160
Leif,Steuber,1979-04-07,Maine,male,187,116
Joaquin,Yost,1984-08-31,NewHampshire,female,194,63
Terrell,Tillman,1975-06-28,Delaware,male,163,160
Alden,Dare,1965-01-30,NorthDakota,female,172,75
Leopold,Emard,1989-07-23,Wisconsin,female,173,77
Dale,Larkin,1968-01-19,Nebraska,female,154,152
Ryann,Prohaska,1990-06-23,Arkansas,female,185,152
Consuelo,Bailey,1964-10-05,NewJersey,female,179,121
Beulah,Abbott,1970-12-03,NewMexico,female,157,139
Sammie,Morar,1968-07-04,NorthCarolina,female,184,120
Lorenzo,Johnston,1992-04-26,Tennessee,female,163,90
Deshawn,Barton,1986-01-27,Wisconsin,female,165,75
Art,Purdy,1967-11-14,WestVirginia,female,152,104
Eleonore,Feil,1983-09-04,Arkansas,female,154,152
Orion,Roob,1973-01-06,Tennessee,male,153,92
Dorothy,Funk,1988-06-24,Connecticut,male,194,102
Alvena,Turner,1988-03-03,Oklahoma,male,172,69
Summer,Will,1971-03-29,Georgia,female,151,133
Lori,Rice,1989-03-13,Wyoming,male,193,149
Megane,Borer,1964-01-25,Colorado,male,193,114
Susana,Kunde,1970-03-08,NorthCarolina,male,193,142
Lambert,Macejkovic,1988-07-03,Arizona,female,172,66
Kelton,Leffler,1987-03-02,Washington,male,158,70
Ubaldo,Wintheiser,1968-04-24,Connecticut,male,194,81
Scot,Ernser,1984-08-22,Wisconsin,female,191,88
Muriel,Schultz,1988-11-11,NorthCarolina,female,200,74
Ashly,Daniel,1977-02-01,NorthCarolina,male,155,123
Emmanuelle,Boehm,1978-01-27,WestVirginia,female,157,126
Nicholaus,Davis,1976-07-24,Oregon,female,192,109
Annabel,Smitham,1983-01-15,Oklahoma,male,166,93
Birdie,Greenholt,1969-09-03,Minnesota,male,172,76
Matilda,Kuhlman,1990-05-13,Massachusetts,male,198,126
Timmy,Feil,1989-02-27,NewHampshire,female,184,143
Elva,Romaguera,1976-12-19,SouthCarolina,female,194,129
Sammie,Effertz,1984-10-21,WestVirginia,male,150,108
Alisha,Tromp,1990-04-10,Wyoming,male,177,107
Maiya,Wolf,1966-07-30,Nevada,male,176,119
Zachary,Hettinger,1972-06-30,Nebraska,female,185,136
Rebekah,Davis,1984-08-28,NewJersey,male,181,117
Kyra,Hirthe,1981-03-21,Oklahoma,female,172,153
Johnny,Schinner,1967-01-20,SouthCarolina,female,192,91
Tressie,Carter,1976-08-27,SouthDakota,female,153,85
Meaghan,Flatley,1976-08-21,Colorado,male,172,159
Lawrence,Ebert,1976-11-16,Nebraska,male,150,146
Rubye,Leannon,1989-12-20,California,female,193,147
Antone,Davis,1972-03-25,Alaska,male,152,96
Christop,Boehm,1990-03-23,Washington,female,173,154
Deshaun,Hyatt,1973-04-13,Connecticut,female,178,120
Cleve,Kunze,1972-07-18,Tennessee,male,166,78
Reed,Reinger,1964-04-14,Oregon,male,181,127
Candice,Beatty,1992-04-01,Delaware,female,166,108
Aaliyah,Smitham,1965-06-28,Massachusetts,female,163,115
Benjamin,Ritchie,1965-06-27,WestVirginia,female,195,53
Raegan,Torp,1991-04-05,Alaska,female,168,54
Bradley,Leannon,1988-02-14,Wyoming,female,178,149
Freddie,Boehm,1990-04-08,Delaware,male,163,155
Noah,Grant,1989-10-25,NorthCarolina,female,175,96
Winston,Crist,1993-12-08,SouthDakota,female,169,157
Tessie,Witting,1989-06-13,Arkansas,female,151,81
Harley,King,1993-09-26,Missouri,female,164,150
Rafaela,Howell,1983-09-18,Maryland,male,173,75
Celine,Waters,1970-04-04,Massachusetts,female,151,105
Marilie,Quigley,1977-02-20,Maine,female,196,93
Timmy,Veum,1980-07-12,NewHampshire,female,190,133
Aditya,Harris,1975-01-17,Mississippi,female,177,84
Hildegard,Dietrich,1966-12-19,NewYork,female,158,114
Fanny,Bergnaum,1975-01-10,Vermont,male,160,59
Alize,Bernier,1993-08-18,Alaska,male,159,101
Corine,Gottlieb,1969-07-29,RhodeIsland,male,190,103
Brooks,Swaniawski,1968-10-22,Virginia,male,184,134
Amelie,Goldner,1981-09-30,Nebraska,male,163,74
Garrick,Dooley,1978-07-01,NorthCarolina,female,168,78
Laurence,Hagenes,1970-06-19,Nebraska,male,153,68
Nina,Anderson,1973-02-22,Hawaii,male,190,156
Gerard,Romaguera,1972-07-29,Connecticut,male,179,104
Julian,Ebert,1986-05-14,Vermont,female,162,121
Major,Okuneva,1968-07-04,Hawaii,male,193,143
Deanna,Lueilwitz,1982-07-10,Utah,female,195,52
Abbigail,Hilll,1982-03-08,Oklahoma,female,196,140
Eudora,Will,1982-03-26,Utah,female,159,105
Lane,Kling,1991-08-13,NewHampshire,female,169,133
Brian,Anderson,1981-06-16,Missouri,male,191,63
Deshaun,Douglas,1990-09-14,Oregon,male,187,70
Sylvan,Cormier,1966-07-16,NewHampshire,male,152,158
Destiny,Bernier,1977-05-03,Pennsylvania,female,156,111
Abner,Keebler,1975-07-28,Illinois,male,175,137
Rosario,Hickle,1991-11-19,Nebraska,male,173,122
Althea,Pacocha,1975-12-29,Michigan,male,176,111
Fannie,Considine,1974-01-19,Utah,male,151,100
Bertrand,Lind,1984-09-25,Nebraska,female,150,121
Marianne,Rutherford,1992-11-20,Arizona,male,189,53
Veronica,Hammes,1965-12-15,Iowa,female,188,143
Kaya,Waters,1977-10-10,Maryland,female,199,115
Kailyn,Haley,1970-01-06,Ohio,female,169,121
Cierra,Gutkowski,1985-06-16,WestVirginia,male,187,135
Norene,Swift,1981-11-24,Colorado,male,179,81
Dereck,Stark,1989-02-28,Alaska,female,152,133
Cary,Rodriguez,1967-03-17,NorthDakota,male,169,80
Sheridan,Vandervort,1970-11-02,Wisconsin,female,187,82
Wendy,Hermiston,1983-12-15,Colorado,male,195,85
Nedra,Haag,1984-11-10,Tennessee,male,178,59
Hipolito,Jakubowski,1992-08-09,Nebraska,male,199,142
Julius,Cole,1977-03-14,California,female,176,140
Rupert,McDermott,1970-07-22,Washington,male,161,71
Lennie,Toy,1987-07-23,Maryland,male,197,153
Dillan,Marquardt,1967-07-16,Idaho,female,159,105
Wava,Wisoky,1979-12-18,NewYork,male,161,112
Elnora,Goyette,1974-05-24,Illinois,female,196,154
Rylan,Murray,1964-01-12,Utah,female,157,124
Kellen,Frami,1986-02-11,California,male,193,113
Minnie,Johnston,1988-08-24,Nevada,male,159,64
Rusty,Collins,1978-02-25,NewJersey,male,179,62
Allan,Reichel,1969-10-09,Michigan,female,190,119
Hipolito,Hermann,1983-07-02,Florida,male,180,145
Jaime,Haley,1968-03-05,Mississippi,male,152,137
Ahmed,Tillman,1969-05-22,Kansas,female,163,157
Kristian,Corwin,1990-07-08,Maryland,male,189,70
Mariane,Botsford,1992-10-12,Maine,male,152,60
Earlene,Dare,1981-03-07,Utah,female,179,77
Adan,Glover,1968-12-22,California,male,170,60
Viviane,Jacobson,1983-07-16,Illinois,male,178,82
Alisha,Smith,1993-04-16,Hawaii,male,190,145
Wayne,Stehr,1966-07-10,WestVirginia,male,193,122
Laverne,Casper,1974-07-12,Louisiana,female,188,77
Shanel,Kuphal,1977-06-06,Texas,female,192,82
Kenton,Glover,1978-09-01,Pennsylvania,female,193,112
Americo,Morissette,1969-12-27,Iowa,female,168,88
Rahul,Treutel,1986-03-23,Washington,male,171,93
Lizzie,Mertz,1964-06-05,Illinois,male,172,158
Uriah,Torphy,1978-01-02,NewJersey,male,156,92
Dovie,Purdy,1983-10-15,SouthCarolina,female,169,154
Hiram,Grimes,1993-01-19,RhodeIsland,female,189,130
Nicolette,Miller,1990-12-08,Utah,male,163,114
Jeff,Mayert,1971-06-01,WestVirginia,male,170,86
Nicklaus,Gorczany,1976-06-14,Michigan,female,169,68
Monte,Hills,1972-12-21,Georgia,male,157,50
Issac,Kerluke,1973-06-03,Connecticut,female,194,90
Paris,Crona,1984-09-30,NorthCarolina,male,190,138
Don,Torp,1978-12-10,Missouri,female,191,76
Audie,Gusikowski,1976-03-09,Montana,male,153,91
Annalise,Harber,1972-09-12,California,male,172,134
Serena,Zemlak,1972-03-24,NorthDakota,male,154,110
Sylvia,Rutherford,1972-11-17,Georgia,female,180,140
Eladio,Bartell,1985-06-27,Colorado,female,189,72
Frederick,Williamson,1992-04-03,Delaware,male,159,114
Lesley,Jenkins,1987-09-04,Virginia,male,195,130
Cullen,Gorczany,1971-07-30,Kentucky,male,158,117
Christine,Kerluke,1990-12-10,Michigan,male,190,95
Sid,Metz,1990-03-04,Wyoming,female,191,74
Kristy,Gutmann,1981-08-12,Kansas,female,191,83
Zackery,Stamm,1973-03-20,Nebraska,female,159,131
Elijah,Bartell,1967-04-27,Wyoming,male,175,141
Derick,Halvorson,1987-06-08,Oregon,male,177,97
Jordyn,Beier,1967-06-12,NorthDakota,male,158,72
Madge,Waters,1978-08-14,Alabama,female,156,92
Katrine,Leannon,1977-11-19,Wisconsin,female,163,81
Johan,Osinski,1986-01-22,Ohio,male,169,100
Kaden,Howell,1968-09-09,Pennsylvania,female,195,78
Jayde,Reilly,1989-02-02,NewHampshire,female,159,58
Ethyl,Boehm,1983-06-16,NewHampshire,male,186,148
Melyssa,Ebert,1974-05-08,Delaware,female,181,59
Antoinette,McKenzie,1970-03-19,NewJersey,female,164,115
Ludwig,Dietrich,1968-02-09,Minnesota,male,175,65
Hubert,Weissnat,1984-10-05,Idaho,male,176,84
Peter,Cronin,1972-09-14,NewYork,female,188,99
Jade,Marquardt,1971-12-14,Minnesota,female,178,128
Gisselle,Schneider,1989-04-05,Michigan,male,155,60
Ruthie,Hand,1967-03-29,NewHampshire,female,162,158
Judah,Stracke,1966-06-28,Massachusetts,female,190,67
Ansley,Dooley,1986-05-05,Oklahoma,female,178,147
Aliyah,Reichert,1980-01-19,Illinois,female,182,105
Jamal,Nader,1991-11-08,Illinois,male,173,137
Beulah,Kihn,1978-07-24,Kentucky,male,154,81
Joana,Keebler,1982-09-27,Mississippi,female,157,139
Kaelyn,Brakus,1971-12-14,Minnesota,male,171,112
Nakia,Koelpin,1982-11-19,Wyoming,female,153,64
Dylan,Jaskolski,1987-10-28,Oklahoma,female,200,76
Billy,Boyer,1993-02-21,RhodeIsland,female,169,103
Ruby,Mraz,1972-11-26,Colorado,male,151,80
Luz,Leffler,1976-07-28,Oklahoma,female,187,143
Valentine,Nikolaus,1977-02-02,Missouri,male,167,103
Polly,Rodriguez,1968-05-28,Nevada,male,151,153
Enid,Kshlerin,1992-12-12,Alaska,female,165,52
Selina,Homenick,1993-11-22,WestVirginia,male,187,69
Ozella,Mayer,1991-05-25,Kansas,female,173,116
Cassidy,Cronin,1973-08-04,Arizona,male,182,123
Desiree,Dach,1966-07-16,Pennsylvania,male,176,123
Alia,Balistreri,1979-08-02,Alabama,female,174,55
Hilda,Will,1978-02-20,Utah,male,172,57
Elisa,Kuhlman,1992-06-17,Minnesota,female,178,139
Cristal,Kiehn,1973-03-13,Connecticut,male,177,66
Jody,Schneider,1992-07-08,Illinois,male,151,70
Roberta,Rath,1988-06-22,Tennessee,male,165,104
Marshall,Boyer,1992-04-11,Vermont,female,194,74
Rachael,Kuhic,1991-10-31,Arkansas,male,161,124
Cheyanne,Mohr,1973-06-08,NewHampshire,female,158,83
Elta,Kuhn,1983-10-13,Hawaii,male,161,140
Genoveva,Kemmer,1969-11-12,Georgia,male,176,83
Jannie,Sipes,1978-09-21,Delaware,female,165,131
Katrine,Vandervort,1985-02-26,Indiana,male,168,81
Amira,Casper,1979-01-21,Utah,female,162,142
Justen,Farrell,1973-05-30,NewYork,female,181,145
Elnora,Beer,1965-09-28,Minnesota,male,196,68
Halie,Hartmann,1977-05-24,SouthCarolina,male,161,53
Dolly,Hammes,1990-10-28,Massachusetts,male,187,79
Geo,Lynch,1979-01-05,SouthCarolina,male,193,97
Chaz,O'Hara,1968-09-06,Connecticut,male,181,122
Oda,Jerde,1964-09-29,Tennessee,male,152,70
Aileen,Lueilwitz,1989-09-14,NewHampshire,male,176,104
Jamarcus,Corwin,1964-10-13,Virginia,female,153,143
Bette,Langworth,1988-12-11,Vermont,male,171,59
Bette,Abernathy,1986-06-19,Maryland,male,197,127
Miller,Gislason,1982-04-28,SouthCarolina,male,181,117
Kelsie,Lockman,1972-10-02,Illinois,male,190,143
Felicita,McKenzie,1977-06-22,Iowa,female,159,114
Lenore,Farrell,1981-11-15,Indiana,male,162,96
Arielle,Connelly,1965-10-10,Tennessee,female,181,53
Anika,McLaughlin,1993-10-27,Vermont,female,190,58
Roscoe,Leuschke,1971-07-21,Maryland,male,164,115
Richard,Reichel,1979-08-07,Utah,male,175,123
Murphy,Konopelski,1988-02-26,Hawaii,male,150,58
Janick,Stehr,1969-03-23,Arizona,male,167,50
Kristoffer,Stamm,1965-06-14,Ohio,female,177,118
Kaylah,Toy,1964-12-13,Montana,male,196,94
Jonathon,Cummerata,1981-03-19,Hawaii,male,166,114
Rose,Toy,1969-02-11,Kansas,male,200,141
Oswaldo,Emard,1974-02-06,RhodeIsland,female,153,98
Marcelino,Kirlin,1977-05-15,Kentucky,female,192,76
Orion,Renner,1984-06-03,Minnesota,male,188,107
Ole,Lind,1975-08-07,Virginia,female,159,51
Cecelia,Smitham,1979-09-12,Utah,female,172,51
Camylle,Metz,1984-05-03,Florida,female,190,88
Annetta,Kris,1964-07-02,NewJersey,female,193,148
Nikki,Kunze,1990-12-28,NewMexico,female,175,139
Cicero,Considine,1968-07-05,Montana,female,200,63
Felix,Klocko,1964-01-13,NewHampshire,male,153,61
Constance,Welch,1990-02-18,Alabama,female,178,69
Matteo,Mohr,1986-06-06,Delaware,male,154,50
Cletus,Wunsch,1989-07-19,NorthCarolina,female,184,134
Valerie,Volkman,1984-06-22,SouthDakota,female,194,155
Norris,Sipes,1964-11-12,NewJersey,female,186,93
Casimer,Robel,1992-05-17,Ohio,female,183,72
Xander,Gibson,1989-07-27,Indiana,female,179,55
Leonardo,Lueilwitz,1976-11-14,Iowa,female,156,111
Aileen,Stanton,1980-09-29,Maryland,female,153,110
